3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
dar. PIRATEN;15,06280135;3,663974547;3,469609481;12,29639261;5,948861711;8,358818843;2,802065302;4,143866206;2,438300987;2,078748488;0,16055346;0,286433821;0,243410404;0,344035106
dar. NPD;2,343630353;0,570080011;0,100131764;0,354869759;0,992255065;1,39422981;0,309055225;0,457049842;0,712252161;0,607223272;0,129426039;0,230901251;0,100510099;0,142060495
dar. AfD;22,47618519;5,467254632;1,449766068;5,138011313;3,267238191;4,590836613;4,556251568;6,738064559;7,758586472;6,614503288;2,750077389;4,906248514;2,694265497;3,80806202
Zusammen;411,1055127;100;28,21648259;100;71,1686881;100;67,6195891;100;117,296585;100;56,05254975;100;70,75161811;100
;Frauen;;;;;;;;;;;;;
CDU;162,751302;33,92606498;10,15981532;30,38624677;24,50343719;30,04827892;21,58355176;30,17753175;36,28629337;28,98135877;20,97714254;34,99869644;49,24106185;45,56128538
SPD;157,341465;32,79836598;9,349976952;27,96416056;20,98557902;25,73437052;22,74097228;31,79580546;40,08476591;32,01514606;23,26494329;38,81571032;40,9152276;37,85763935
FDP;18,2896977;3,812549976;1,323948591;3,959700773;3,196879434;3,920295923;2,753674746;3,850112715;4,317701773;3,448488466;1,875191279;3,128607731;4,822301881;4,461932052
DIE LINKE;38,04001359;7,929570804;3,051747044;9,127246494;7,30755135;8,961164897;5,661655013;7,915971189;13,60419626;10,86548269;4,492972703;7,49616815;3,921891223;3,628808935
GRÜNE;67,02548042;13,9716904;5,537494425;16,56168609;17,21624384;21,11207881;13,26206207;18,54265246;20,57202069;16,43058733;6,544731407;10,91936461;3,892927989;3,602010119
Sonstige;36,27552853;7,561757864;4,012589352;12,00095931;8,337199931;10,22381093;5,520009587;7,717926428;10,34065385;8,258936679;2,781944068;4,641452751;5,28313174;4,888324172
dar. PIRATEN;7,986880646;1,664892559;2,005028362;5,996692328;2,707917566;3,320687694;1,430590975;2,000213174;1,214540951;0,970036997;0,399219475;0,66606599;0,229583317;0,212426593
dar. NPD;2,155609757;0,449344219;0,200542825;0,599788832;0,630899766;0,773665016;0,409661346;0,572777289;0,588607435;0,470112587;0,325898385;0,543735575;0;0
dar. AfD;19,2695803;4,016809853;1,109285322;3,317680141;3,349860083;4,107894306;2,784761325;3,893577119;7,091564776;5,663934338;1,580438024;2,636835334;3,353670775;3,103051508
Zusammen;479,7234873;100;33,43557169;100;81,54689077;100;71,52192545;100;125,2056319;100;59,93692529;100;108,0765423;100
;Niedersachsen;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
CDU;1825,592;41,06828397;100,5688558;30,85930159;182,6397673;37,26274219;256,7893569;40,80994382;494,7223673;36,98128173;288,5178747;42,16555434;502,3537781;51,36657057
SPD;1470,005;33,06904433;102,5093246;31,45472959;139,556942;28,47284809;180,0548169;28,61499811;458,1751779;34,24932135;246,2902639;35,99418413;343,4184747;35,11515208
FDP;185,647;4,176291151;13,43782224;4,123362108;20,56867649;4,196486343;26,87823227;4,271591168;48,38506263;3,616860185;30,47250958;4,453416482;45,90469679;4,693837192
DIE LINKE;223,935;5,037613098;18,69046112;5,735121198;30,40485153;6,203293844;33,97105106;5,398808977;81,9375339;6,124960636;37,42518617;5,469518042;21,50591621;2,199018324
GRÜNE;391,901;8,816154736;41,44916346;12,71857202;49,1153544;10,02066974;68,21017534;10,84022117;154,2787898;11,53258427;45,71788661;6,681457896;33,12963036;3,387563844
